Course,Institutions
Mcad C#,
Bachelor Of Science In Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Certificate In Project Management,
Labour Relations Management Course,
Business Analysis,
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
E-Marketing Award (Cim),
Banking Compliance Studies,
n4,
Mcpd: Web Developer 4,
Post Graduate Diploma In Tax Strategie,
Bachelor of Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor degree in Science,
Chattered Management Accounting Qualification,
Computer Systems Engineering,
Bachelor of Science  honors in computing,
Web and Application Development,
Completion Of Modules In Software Development,
B.S,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Matric,
Bachelor of Engineering (Computer Engineering) Honours,
KNX Tutor,
National Diploma Cost & Management Accounting,
Certified Web Developer,
Master In Business Administration (Mba),
Business Administration,
MBA,
Microsoft Certified Programmer(Mcp),
Meng (Telecoms),
Microsoft Certified Systems Engineering,
Certificate In Business And Systems Analysis,
Software Engineer,
Bachelor of Science  Information Systems,
National Diploma,
information Systems,
Masters in Technical Project and Business Management,
Oracle Business Intelligence (Modules),
Bachelor Of Finance,
Bachelor of Science  Computer Science and IT,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Prince 2 Foundation And Practitioner (Certified) - Project Management,
Bachelor in Technology: Computer systems engineering,
Certification In Cio Practice,
Matric,
Senior Certificate,
J2ee Introduction And Overview,
Electrician,
Marketing Management (Imm),
Course,
Executive Project Management,
Bachelor Of Commerce - Honours,
Diploma entry level COBOL  programming,
Communication Design,
Bachelor of Science : IT Industrial and Mining,
Bachelor of Science,
Mcad .NET,
Sql,
BTEC Higher National Diploma Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Certificate In Project Management,
Certificate - Full Stack Web Development Specialization,
MBA,
MBA,
Applied Project Management In An It Environment,
B.Com Honours Degree Information Systems,
Instructional Design And Development,
National Diploma,
Bachelor of Science  in Mathematical and Computal Sciences,
Import Export management certificate,
Assessor,
Post Graduate Diploma Risk Management,
Advanced Diploma In Information Processing,
Bachelor of Science  It Management,
Microsoft Certified Professional Developer (Mcpd),
National Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Commerce Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
National Diploma Engineering Computer Systems,
Bachelor in Technology,
Unix Advance Course,
Business Objects Designer / Supervisor,
Matric,
Undergraduate,
Software Engineering,"Moringa School, eMobilis Training Institute"
National Diploma : Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
B.Com,
Fundamentals Of Project Management,
Bachelor of Science Honours (Software Engineering),"Moringa School, eMobilis Training Institute"
Oracle Certified Associate (Java SE 7 Programmer),
Project Management Professional,
Honors Diploma In Information And Technolgy,
Knowledge Management,
National Certificate,
Bachelor Of Science,
National Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science  Hons In Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Commerce Informatics,
Information Systems Software Development Diploma,
Google Developer Challenge Scholarship: Front-End Web Dev,
T-SQL querying `,
SAP FI 4.6C Certification,
It Project Management,
National Diploma : Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Prince2 Foundation,
MBL  (Master of Business Leadership),
Diploma Computer Systems,
Higher Diploma,
Project Management Professional (Pmp),
Diploma Information Systems Engineering,
Ocp,
Data Scientist Toolbox,
National Diploma: Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
